ID,Titulo,Genero,Lançamento,Duração,Nota,MetaScore,Votos,Faturamento,Sinopse
0,Um Sonho de Liberdade,Drama,1994,142,9.3,82,2750243,28.34,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,O Poderoso Chefão,"Crime, Drama            ",1972,175,9.2,100,1912969,134.97,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,Homem-Aranha: Através do Aranhaverso,"Animation, Action, Adventure            ",2023,140,9.0,86,98913,#11,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
3,Batman: O Cavaleiro das Trevas,"Action, Crime, Drama            ",2008,152,9.0,84,2723005,534.86,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,A Lista de Schindler,"Biography, Drama, History            ",1993,195,9.0,95,1386984,96.90,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
5,O Poderoso Chefão II,"Crime, Drama            ",1974,202,9.0,90,1302879,57.30,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
6,O Senhor dos Anéis: O Retorno do Rei,"Action, Adventure, Drama            ",2003,201,9.0,94,1889703,377.85,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,12 Homens e uma Sentença,"Crime, Drama            ",1957,96,9.0,97,814449,4.36,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
8,Pulp Fiction: Tempo de Violência,"Crime, Drama            ",1994,154,8.9,95,2112864,107.93,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,A Origem,"Action, Adventure, Sci-Fi            ",2010,148,8.8,74,2416924,292.58,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
10,O Senhor dos Anéis: A Sociedade do Anel,"Action, Adventure, Drama            ",2001,178,8.8,92,1918290,315.54,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Clube da Luta,Drama,1999,139,8.8,66,2190006,37.03,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12,Forrest Gump: O Contador de Histórias,"Drama, Romance            ",1994,142,8.8,82,2139541,330.25,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
13,Três Homens em Conflito,"Adventure, Western            ",1966,161,8.8,90,778297,6.10,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
14,O Senhor dos Anéis: As Duas Torres,"Action, Adventure, Drama            ",2002,179,8.8,87,1705557,342.55,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
15,Interestelar,"Adventure, Drama, Sci-Fi            ",2014,169,8.7,74,1915549,188.02,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
